common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
coastal Douglas-fir,469,,526,60.1,2.54,18,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.298423,-123.144792,40,"Immediately adjacent Lees Trail, 40m east of intersection with Bridle Path. ",Trailside.,Ira Sutherland,,,,Ira Sutherland,
coastal Douglas-fir,471,,445,54,2.07,14.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.304785,-123.135525,40,"From trailhead of Tisdall Walk, continue north along Pipeline road for 30m, and tree is visible roughly 30m east from Pipeline Road. Not possible to access tree base, but great view from Pipeline Road. ","Just south of Eagle Tree, and still live practcally right up to its top. ",Ira Sutherland,,,,Ira Sutherland,0
coastal Douglas-fir,472,,,,2.39,,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.304929,-123.13525,40,"Off trail. But visible from Tunnel Trail.  Best located using 2016 gps coordinates, which should be accurate to 6m. ",,Ira Sutherland,,,,Ira Sutherland,0
coastal Douglas-fir,473,,437,54.9,1.97,16.2,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.299004,-123.132731,40,In lawn immediately east of Stanley Park Malkin Bowl. ,Just to the south-east of Stanley Park Pavillion with lawn at base.,Ira Sutherland,,,,Ira Sutherland,1
coastal Douglas-fir,474,,419,51.1,1.92,17,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.299544,-123.132842,40,Roughly 50m SEE from southeast corner of Stanley's Bar and Grill. ,,Ira Sutherland,,,,Ira Sutherland,0
coastal Douglas-fir,475,,456,52.5,2.2,15,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.305199,-123.135292,40,"Off trail. But visible from Tunnel Trail.  Best located using 2016 gps coordiantes, which should be accurate to 6m. ",,Ira Sutherland,,,,Ira Sutherland,0
coastal Douglas-fir,476,,,,1.56,15.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.303938,-123.136568,40,"Off trail 20m west of Pipeline Road, roughly 50m north of Tisdall Walk. ",,Ira Sutherland,,,,Ira Sutherland,0
coastal Douglas-fir,477,,,,1.75,18.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.30401,-123.136527,40,"Off trail 15m west of Pipeline Road, roughly 70m north of Tisdall Walk. ",,Ira Sutherland,,,,Ira Sutherland,0
coastal Douglas-fir,478,,,,1.58,15.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.304271,-123.136555,40,"Off trail 15m west of Pipeline Road, roughly 100m north of Tisdall Walk. ",Prominently visible from road uphill and across the Pipeline Road from the Eagle tree. Leans quite a bit southward. Is right beside a large western hemlock. Somewhat open grown compared to other large Douglas-fir nearby to south.,Ira Sutherland,,,,Ira Sutherland,0
coastal Douglas-fir,479,,353,63.7,1.08,13.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.301631,-123.139904,40,Off S Creek Trail roughly 8m to NE at a point roughly 50m SE of intersection with Wren Trail. ,Very tall and skinny fir. Has a moderate-sized canopy gap to the north.,Ira Sutherland,,,,Ira Sutherland,0
bigleaf maple,480,,317,38.1,1.43,18.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.298782,-123.130667,40,"10m west from Avison Way, just north of intersection with a trail located about 150m south of Aquarium. Refer to gps coordinates. ",,Ira Sutherland,,,,Ira Sutherland,0
western redcedar*,481,,547,42.6,3.21,12.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.300569,-123.154633,40,Immediately on Lovers Walk Trail 130m east of intersection with Rawlings Trail. ,Trailside giant. ,Ira Sutherland,,,,Ira Sutherland,0
western redcedar*,482,,521,51.6,2.76,12.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.30518,-123.15375,40,On Park Drive 200m south of Hollow Tree. ,Very noticeable from Park Drive as the road practically goes around it; has asphalt foot path on the other side from road. ,Ira Sutherland,,,,Ira Sutherland,0
Ponderosa pine,483,Round Lake Pine,360,49.7,1.51,11.6,2018,2019,Round Lake,Princeton,Private land,,hidden,,,This tree is 2 kilometers south of Allison Lake Park on Highway 5A. It is on the west side of the highway when you are driving north. ,Healthy,Shaun Muc,,,,Shaun Muc,1
western redcedar*,484,Fortress Giant,,,3.58,,2017,2020,Jurassic Grove,Port Renfrew,Tree Farm Lic.,61,48.475937,-124.244822,,"This tree is accessed via the trail to Chin Beach off of Highway 14. Take the trail down through second-growth forest for about 5 minutes until you reach a large cedar tree on the path. From there, veer left into the bush along a rough footpath for about another 2 minutes until you find the Fortress Giant!","Healthy. Large, multi-forked cown. This tree is the crown jewel of the grove!",TJ Watt,Ancient Forest Alliance,,,Andy MacKinnon,1
western redcedar*,485,Chin Beach Cedar,,,3.58,,2017,2020,Jurassic Grove,Port Renfrew,Tree Farm Lic.,61,48.476747,-124.245563,,This tree is accessed via the trail to Chin Beach off of Highway 14. Take the trail down through second-growth forest for about 5 minutes until you reach a large cedar tree on the path. That’s the tree!,A fairly well known cedar that grows on a popular surf trail. Tree is beginning to split higher up the trunk.,TJ Watt,Ancient Forest Alliance,,,Andy MacKinnon,1
western redcedar*,486,Refugee Tree,,,4.21,,2017,2020,Jurassic Grove,Port Renfrew,Tree Farm Lic.,61,48.482128,-124.261455,,"Park at the gravel pullout at pole #237 along Highway 14 about 5 minutes before Loss Creek. From here you can see the large, candelabra top of the tree sticking out of the canopy off the road. Walk east (towards Sooke) a short distance along the road barrier before turning right into the second-growth.Follow the edge of the embankment on your right and look for a zig-zag path that takes you down to the enormous tree, which grows on the side of a steep slope.",Absolutley massive cedar with huge candelabra top that's visible from the road. I first stumbled upon it in 2009 and then later noticed that Randy Stoltmann may have noted it in one of his old books as well.,TJ Watt,Ancient Forest Alliance,,,Andy MacKinnon,1
coastal Douglas-fir,487,Loup Creek Fir,,52,2.78,,2020,2020,Loup Creek,Port Renfrew,Tree Farm Lic.,46,48.690645,-124.438163,,Involves a bushwhack in from the forest service road running along Loop Creek.,Tree likely falls just within an Old-Growth Management Area,TJ Watt,Matthew Beatty,,,Matthew Beatty,1
amabilis fir,488,Loup Amabilis,,44,1.32,,2020,2020,Loup Creek,Port Renfrew,Tree Farm Lic.,46,48.69127,-124.437653,,Involves a bushwhack in from the forest service road running along Loop Creek.,,Matthew Beatty,TJ Watt,,,Matthew Beatty,1
western redcedar*,489,Loup Cedar #1,,,3.23,,2020,2020,Loup Creek,Port Renfrew,Tree Farm Lic.,46,48.692075,-124.434675,,Involves a bushwhack in from the forest service road running along Loop Creek.,Currently unprotected,TJ Watt,Matthew Beatty,,,Matthew Beatty,1
western redcedar*,490,Loup Cedar #2,,,3.03,,2020,2020,Loup Creek,Port Renfrew,Tree Farm Lic.,46,48.692998,-124.43743,,Involves a bushwhack in from the forest service road running along Loop Creek.,Currently unprotected,Matthew Beatty,TJ Watt,,,Matthew Beatty,1
western redcedar*,491,Loup Cedar #3,,,2.89,,2020,2020,Loup Creek,Port Renfrew,Tree Farm Lic.,46,48.69086,-124.437418,,Involves a bushwhack in from the forest service road running along Loop Creek.,Currently unprotected,TJ Watt,Matthew Beatty,,,Matthew Beatty,1
western redcedar*,492,Cowabunga Cedar,711,52,4.24,17.9,2020,2020,Eden Grove,Port Renfrew,Tree Farm Lic.,46,48.641425,-124.443437,,"Drive from Port Renfrew along Gordon Mainline past Avatar Grove and turn right onto Edinburgh Mainline. Stay on this road for 5-10 minutes, passing Big Lonely Doug. When forest appears along the edge of the road again you’ve reached Eden Grove. Keeping going past the trailhead at the Douglas-fir until you reach a wide section where you can park on the right hand side (48.641948, -124.442476). From here you need to bushwhack down to the tree. There are many other giants to be seen here too!  ",This tree is magnificent and very burly. It grows on the edge of a creek bank in a fairly flat and open section of Eden Grove. There are many other giant trees in the vicinity as well. This area is currently unprotected and has falling boundary and road location tape throughout the grove.,TJ Watt,,,,Matthew Beatty,1
coastal Douglas-fir,493,Mossome Fir,,,2.68,,2020,2020,Mossome Grove,Port Renfrew,Woodlot Lic.,46,hidden,,,,A large Douglas-fir growing somewhat on its own. Nice thick bark!,TJ Watt,Ian Campbell,,,,1
western redcedar*,494,Cheewhat Cedar 1,,,4.19,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.688245,-124.7461,,Involves a bushwhack through the forests on the eastern side of the lake. ,A wide and impressive cedar that splits into two trunks a third of the way up. Other amazing cedars just down slope from this one.,TJ Watt,Graham Ball,,,,1
western redcedar*,495,Redwood Cedar,,,3.96,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.68838,-124.746532,,Involves a bushwhack through the forests on the eastern side of the lake. ,A truly gargantuan cedar that looks like a redwood. Very little taper in the trunk. Healthy with two large banches that extend outwards like flexing arms.,TJ Watt,Graham Ball,,,,1
western redcedar*,496,Spliter Cedar,,,4.44,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.689222,-124.747883,,Involves a bushwhack through the forests on the eastern side of the lake. ,A monster of a redcedar that splits into 3 twisted trunks a short ways up. Hidden amongst dense brush.,TJ Watt,Graham Ball,,,,1
western redcedar*,497,Cheewhat Cedar 2,,,3.83,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.687487,-124.749032,,Involves a bushwhack through the forests on the eastern side of the lake. ,Massive cedar with a burl on the backside. Another giant close by but appears to be dead.,TJ Watt,Graham Ball,,,,1
western redcedar*,498,Twisted Tower,,,4.43,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.683092,-124.753483,,Involves a bushwhack through the forests on the eastern side of the lake. ,An absolutely stunning & enormous cedar growing on a slope above the lake. Bark has amazing swirly patterns and theres a big burl on the left face of the tree below a big iterating branch. Some hollowing inside. ,TJ Watt,Graham Ball,,,,1
western redcedar*,499,Cheewhat Cedar 3,,,4.01,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.683107,-124.754705,,Involves a bushwhack through the forests on the eastern side of the lake. ,Nothing super notable other than it's huge!,TJ Watt,Graham Ball,,,,1
western redcedar*,500,Triple Spire Cedar,708,32.3,4.77,15.1,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.683468,-124.75532,,Involves a bushwhack through the forests on the eastern side of the lake. ,"A truly monumental cedar growing on a slope just up from the lake. Side on slope appears healthy, opposite side breaking apart and hollowing out. Transforms into three spires a short ways up!",TJ Watt,Graham Ball,,,TJ Watt,1
Sitka spruce,501,,,,2.83,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.681173,-124.762688,,Involves a bushwhack through the forests to the bottom end of the lake.,A sizable spruce amongst a grove of a dozen more. Difficult to access but beautiful forest at the south end of the lake.,TJ Watt,Graham Ball,,,,1
Sitka spruce,502,,,,3.26,,2020,2020,Caycuse River,Lake Cowichan,Private land,,48.798333,-124.666268,,Bushwhack down hill from Rosander Mainline to flats along Caycuse River,"A big & beautiful spruce with many branches extended quite low to the ground. A bigleaf maple with long, trailing limbs grows nearby. Lots of elk sign.",TJ Watt,Graham Ball,,,,1
