common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula
western redcedar*,1082,,,,4,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,A massive cedar with a bear den.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1082_CW_BigBear_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1083, ,,,2.99,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,A solid cedar growing in a lush patch of ferns.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1083_CW_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1084,,,,3.43,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,A solid cedar growing in a lush patch of ferns.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1084_CW_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1085,Big Bear Cedar,,,4.38,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,Monumental redcedar with an active bear den. A really special tree and spot.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1085_CW_BigBearCedar_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1086,Fairy Tower,,,3.59,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,An towering cedar that soars skyward. Standing here feels like you're in the redwoods of California. This might be where all the fairys live.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1086_CW_FairyTower_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1087,Twizzler Cedar,,,3.59,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,A twisted redcedar that looks like a piece of red licorice!,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1087_CW_TwizzlerCedar_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1088,Super Giant,,,4,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,"A super giant cedar that makes you stop and say 'WOW'! This one really stands out and with the other big trees around it, makes for an amazing experience. A full sized Hemlock is also growing out of the trunk.",TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1088_CW_SuperGiant_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1088_CW_SuperGiant_TW_2.jpg"" target=""_blank"">2</a>         "
western redcedar*,1089,Golden Giant,,,3.78,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,A super hefty cedar growing in a small creek ravine. A wall of wood!,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1089_CW_GoldenGiant_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1090,Vernon Garden Tree,,,3.69,,2021,2021,Vernon Bay,Bamfield,Forest Lic.,Interfor,48.99263,-125.130792,,"Take a boat to Vernon Bay in Barkley Sound, find a beach to land on, bushwhack into the forest. Dense terrain!!",,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1090_CW_VernonGardenTree_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1091,Lyall Giant,,,4.76,,2021,2021,Barkley Sound,Uclulet,Forest Lic.,Interfor,48.970445,-125.318277,,Boat access to the shore then bushwhack in.,A beast of a cedar growing on a bench at the top of a rise. ,TJ Watt,Nathaniel Glickman,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1091_CW_LyallGiant_TW.jpg"" target=""_blank"">1</a>            "
coastal Douglas-fir,1093,,,,1.95,,2021,2021,Edinburgh Mountain,Port Renfrew,Tree Farm Lic.,46 - Teal-Jones,48.658968,-124.444975,,"Take Gordon Main to Hemmingson Main then TR11 to the top of the mountain. This road is steep and sketchy. Alternatively, hike from the base of the mountain from Edinburgh Mainline before you get to Big Lonely Doug. This is a trek but doable.",A nice Douglas-fir within an approved cutblock on the backside of Edinburgh Moutain.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1093_FD_EdinburghMT_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1094,Nap Time Cedar,,,3.04,,2021,2021,Edinburgh Mountain,Port Renfrew,Tree Farm Lic.,46 - Teal-Jones,48.653035,-124.453545,,Take Gordon Main to Ediburgh Main then walk ED39 spur road on left (old). Bushwhack up through overgrown clearcut (this sucks) until you get into a patch of old-growth with a few scattered giants.,A beautiful cedar in a remnant patch of old-growth on Edinburgh Moutain. A great place to have a nap after climbing down the mountain.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1094_CW_NapTimeCedar_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1095,,,,2.82,,2021,2021,Caycuse River,Lake Cowichan,Tree Farm Lic.,46 - Teal-Jones,48.803087,-124.608132,,,A scragly old cedar within an approved cutblock.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1095_CW_Caycuse_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,1096,Save This Spruce,,,2.43,,2021,2021,Caycuse River,Lake Cowichan,Tree Farm Lic.,46 - Teal-Jones,48.8041,-124.602379,,,A big beautiful spruce that was spared logging in the 90's but now within an approved cutblock,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1096_SS_SaveThisSpruce_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1097,,,,2.72,,2021,2021,Caycuse River,Lake Cowichan,Tree Farm Lic.,46 - Teal-Jones,48.80225,-124.590585,,,A giant solid cedar that is now within an approved cutblock.,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1097_CW_CaycuseCedar_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,1098,Keith Creek Spruce 1,,,3.09,,2021,2021,Keith Creek,Holberg,Tree Farm Lic.,6 - WFP,50.351055,-127.855057,,This place is out there! Hike down off of Side Bay Main through second-growth and find a way to cross the Keith River  then bushwhack through the epic and beautiful old-growth using the GPS point as a guide. ,"A beautiful Sitka spruce tree growing in a Wildlife Habitat Area along the Keith River near Side Bay. Legend has it loggers refused to cut down this patch of forest given it's impressive nature while the entire surrounding areas were clearcut in the 1980's. Today an island of old-growth exists here. Impressive Sitka spruce trees abound in this grove, which is braided by a network of clear streams and wildlife trails. Still more to explore!",TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1098_SS_Kieth_Creek.jpg"" target=""_blank"">1</a>            "
Sitka spruce,1099,Keith Creek Spruce 2,,,3.38,,2021,2021,Keith Creek,Holberg,Tree Farm Lic.,6 - WFP,50.350502,-127.852078,,This place is out there! Hike down off of Side Bay Main through second-growth and find a way to cross the Keith River  then bushwhack through the epic and beautiful old-growth using the GPS point as a guide. ,"A beautiful Sitka spruce tree growing in a Wildlife Habitat Area along the Keith River near Side Bay. Legend has it loggers refused to cut down this patch of forest given it's impressive nature while the entire surrounding areas were clearcut in the 1980's. Today an island of old-growth exists here. Impressive Sitka spruce trees abound in this grove, which is braided by a network of clear streams and wildlife trails. Still more to explore!",TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1099_SS_Kieth_Creek.jpg"" target=""_blank"">1</a>            "
Sitka spruce,1100,Spruce Bay Tower,,,3.11,,2021,2021,"Spruce Bay, Victoria L.",Port Alice,Tree Farm Lic.,6 - OGMA - WFP,50.355114,-127.364477,,Hike the Spruce Bay Recreation Trail from the camping area. This tree is slightly off trail towards the back end of the loop.,"A towering Sitka spruce that is one among many along the Spruce Bay Trail. This trail is like a slice of Carmanah on the north island. The stumps in the second-growth nearby tell a heartbreaking story of trees of almost unimanginable proportions and densities, sadly gone forever. The Spruce Bay Trail is a glimpse into that lost world.",Ian Campbell,TJ Watt,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1100_SS_SpruceBay_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,1101,Twin Arm Spruce,,,2.91,,2021,2021,San Joseph River,Holberg,Institution/corp.,WFP,50.670525,-128.17424,,A short bushwhack off of San Joseph Main through some wet and bushy terrain.,A towering Sitka spruce with two branches shooting upwards off its side like someone putting there arms up in the air!,Ian Campbell,TJ Watt,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1101_SS_TwinArmSpruce_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,1102,Big Girtha,,55,3.21,,2021,2021,San Joseph River,Holberg,Institution/corp.,WFP,50.666287,-128.166272,,"Starting from Holberg, take San Joseph Main towards the coast. Turn left onto Raft Main. Take your first right onto a small side road (semi-over grown with alders). A short ways down you will see the current #1 Sitka spruce tree on your right. Park here and admire that tree before walking further down the road. You will see a ribbon of trees on the left combing close to the road, parallel this towards the back edge of the clearing where you will find this tree.","A big ole' Sitka with some junk in its trunk! Big Girtha is just one of many massive spruce trees found in this exceptional zone - possibly the highest concentrations of giant Sitka's that we know of, largely (we think) due to the limestone substrate they grow on.",TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1102_SS_BigGirtha_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1102_SS_BigGirtha_TW_2.jpg"" target=""_blank"">2</a>         "
Sitka spruce,1103,Burly Beast,,50.3,3.22,,2021,2021,Quatsino Sound,Holberg,Tree Farm Lic.,6 - WFP,50.580965,-127.787323,,Starting from Holberg get to NE Main and start travelling down Quatsino Sound. Carry onto SE Koprino Main then onto Hathaway Main then Michelson Main. Use GPS points to park close to the tree which will be on the left side of the road through a bit of a swampy section. Not super far but gumboots might help. You can see the big top from the road.,A beast of a spruce tree with a big burl at the base. This tree has a commanding presence when standing before it! Thankfully it's protected by an OGMA and WHA. There are other large spruce trees in the area. Worth more exploring in the dry season.,TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1103_SS_BurlyBeast_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1103_SS_BurlyBeast_TW_2.jpg"" target=""_blank"">2</a>         "
Sitka spruce,1104,Nice Spruce,,,2.97,,2021,2021,Quatsino Sound,Holberg,Tree Farm Lic.,6 - WFP,50.580845,-127.774337,,Starting from Holberg get to NE Main and start travelling down Quatsino Sound. Carry onto SE Koprino Main then onto Hathaway Main then Michelson Main. Use GPS points to park close to the tree which will be on the left side of the road through a bit of a swampy section. Not super far but gumboots might help. You can see the big top from the road.,A nice big spruce in a nice forest. Thankfully it's protected by an OGMA and WHA. There is an amazing double-headed spruce across the road growing unprotected and well worth a look!,TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1104_SS_NiceSpruce_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,1105,Quatsino Column,,,2.6,,2021,2021,Quatsino Sound,Holberg,Tree Farm Lic.,6 - WFP,50.552152,-127.582617,,Starting from Holberg get to NE Main and start travelling down Quatsino Sound. Carry onto SE Koprino Main then onto Hathaway Main then Michelson Main then Q Main line nearly to the end. This is a massive journey. Only worth it if you're already down this far.,A large Sitka spruce growing tall and straight like a Roman pillar.,TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1105_SS_QuatsinoColumn_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1105_SS_QuatsinoColumn_TW_2.jpg"" target=""_blank"">2</a>         "
western redcedar*,1106,,,,3.3,,2021,2021,Eldred Valley,Powell River,Tree Farm Lic.,6 - WFP,50.166112,-124.246173,,Take FSR's from Powell River to point closest to GPS and hike in through the second-growth.,The largest cedar in a stunning pocket of old-growth at the base of a towering cliff in the Eldred River Valley.,TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1106_CW_Eldred_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,1107,,714,67,3.88,17.3,2021,2021,San Joseph River,Holberg,Institution/corp.,WFP,50.664957,-128.163063,,"Starting from Holberg, take San Joseph Main towards the coast. Turn left onto Raft Main. Take your first right onto a small side road (semi-over grown with alders). A short ways down you will see tree BC BigTree # 411""San Jo's Smiley"" on your right. Park here and admire that tree before hiking into the woods behind it and bushwhacking on an angle towards your left through some tricky log jams. This tree is on the edge of the next clearing you arrive at.","This is an incredibly impressive Sitka spruce tree with a gigantic columnar trunk that towers into the sky. The sheer volume is staggering. The tree has a broken top but seems to be healthy otherwise. The forest for the most part around it was logged in 2012, exposing one side to the elements. Other giants exist nearby. Certainly not a cheater tree, this one earns all it's wow factor on honest terms. A must see!! ",TJ Watt,Ian Thomas,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1107_Ss_GiantSpruce_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1107_Ss_GiantSpruce_TW_2.jpg"" target=""_blank"">2</a>         "
